식품명,대표식품명,탄수화물(g),Gi수치 ,,,,
팝콘 ,강냉이/팝콘,66.27294,65,,,,
강냉이,강냉이/팝콘,87.9,69.9,,,,
강냉이스낵클래식,강냉이/팝콘,83,69.9,,,,
강냉이튀밥,강냉이/팝콘,87,69.9,,,,
강원산골강냉이,강냉이/팝콘,81,69.9,,,,
강원햇살강냉이,강냉이/팝콘,84.5,69.9,,,,
고구마무스맛팝콘,강냉이/팝콘,60,65,,,,
고소하고매콤달콤한고추팝콘,강냉이/팝콘,71.83,65,,,,
고소한치즈맛팝콘,강냉이/팝콘,65,65,,,,
곤약팝콘숯불바베큐맛,강냉이/팝콘,80,65,,,,
곤약팝콘콘스프맛,강냉이/팝콘,84,65,,,,
곤약팝콘핫앤스위트,강냉이/팝콘,80,65,,,,
곰곰팝콘갈릭버터,강냉이/팝콘,66,65,,,,
곰곰팝콘캐러멜&버터솔트믹스,강냉이/팝콘,60,65,,,,
곰곰팝콘콘스프맛,강냉이/팝콘,66,65,,,,
국산찰강냉이,강냉이/팝콘,78.4,69.9,,,,
까망쿠키초코팝콘,강냉이/팝콘,62,65,,,,
꽃마추억의강냉이,강냉이/팝콘,88,69.9,,,,
꿀땅콩버터팝콘,강냉이/팝콘,70,65,,,,
나쵸치즈맛팝콘,강냉이/팝콘,48.89,65,,,,
누구나좋아하는스윗솔티팝콘,강냉이/팝콘,98,65,,,,
뉴인디팝콘패밀리팩,강냉이/팝콘,61,65,,,,
다르다버터갈릭팝콘,강냉이/팝콘,50,65,,,,
다르다콘소메맛팝콘,강냉이/팝콘,62.5,65,,,,
다르다팝콘크리미카라멜,강냉이/팝콘,78.46,65,,,,
다크초콜릿팝콘,강냉이/팝콘,75,65,,,,
단팝콘,강냉이/팝콘,71.25,65,,,,
달콤한초콜릿팝콘,강냉이/팝콘,80,65,,,,
더블초코팝콘,강냉이/팝콘,78.13,65,,,,
딸기줍줍팝콘,강냉이/팝콘,70.91,65,,,,
땅콩&버터맛팝콘,강냉이/팝콘,70,65,,,,
랜선꽃놀이팝콘,강냉이/팝콘,62.67,65,,,,
레인보우팝콘,강냉이/팝콘,72,65,,,,
리얼프라이스재미있는팝콘,강냉이/팝콘,73.85,65,,,,
맛강냉이,강냉이/팝콘,86,69.9,,,,
맛소금팝콘,강냉이/팝콘,52.73,65,,,,
메가박스바나나맛팝콘,강냉이/팝콘,61.43,65,,,,
메가팝콘카라멜팝콘,강냉이/팝콘,67.2,65,,,,
민트초코팝콘,강냉이/팝콘,60,65,,,,
바삭하고고소한우유팝콘,강냉이/팝콘,73.85,65,,,,
백옥강냉이,강냉이/팝콘,87,69.9,,,,
버터&솔트팝콘,강냉이/팝콘,58,65,,,,
버터갈릭맛팝콘(의성마늘),강냉이/팝콘,50,65,,,,
버터핑거 팝콘,강냉이/팝콘,59.73,65,,,,
빠다팝콘,강냉이/팝콘,51,65,,,,
뻥이요치즈맛,강냉이/팝콘,78,65,,,,
소프트팝콘,강냉이/팝콘,54.55,65,,,,
순수팝콘,강냉이/팝콘,68.8,65,,,,
스니커즈 팝콘,강냉이/팝콘,59.73,65,,,,
스위트&버터팝콘,강냉이/팝콘,63.33,65,,,,
스윗&솔트팝콘,강냉이/팝콘,64.89,65,,,,
스윗허그카라멜&치즈카라멜팝콘,강냉이/팝콘,78.57,65,,,,
스키니팝콘,강냉이/팝콘,66.67,65,,,,
스트로베리초콜릿팝콘,강냉이/팝콘,68,65,,,,
스파이시러버팝콘,강냉이/팝콘,54.29,65,,,,
시나몬카라멜팝콘,강냉이/팝콘,80,65,,,,
시네마갈릭맛팝콘,강냉이/팝콘,51.67,65,,,,
시네마버터팝콘,강냉이/팝콘,57.14,65,,,,
시네마팝콘버터&갈릭,강냉이/팝콘,63.22,65,,,,
시네마팝콘치즈갈릭맛,강냉이/팝콘,54.29,65,,,,
시네마팝콘카라멜,강냉이/팝콘,66.11,65,,,,
신선도원고소한맛팝콘,강냉이/팝콘,57.5,65,,,,
신선도원버터갈릭팝콘,강냉이/팝콘,49.17,65,,,,
신선도원카라멜맛팝콘,강냉이/팝콘,69.71,65,,,,
신선도원콘소메맛팝콘,강냉이/팝콘,62.5,65,,,,
쌀로만든팝콘딸기맛나,강냉이/팝콘,86,65,,,,
쌀로만든팝콘망고맛나,강냉이/팝콘,88,65,,,,
쌀로만든팝콘베리베리,강냉이/팝콘,88,65,,,,
쌀로만든팝콘청포도맛,강냉이/팝콘,88,65,,,,
쌀로만든팝콘카라멜팝콘맛나,강냉이/팝콘,86,65,,,,
씨네마팝콘,강냉이/팝콘,65.12,65,,,,
씨네마팝콘카라멜맛,강냉이/팝콘,70,65,,,,
씨솔트카라멜&크림치즈팝콘,강냉이/팝콘,73.33,65,,,,
어니언팝콘,강냉이/팝콘,70,65,,,,
엠앤엠즈 팝콘,강냉이/팝콘,66.44,65,,,,
영화관팝콘,강냉이/팝콘,60,65,,,,
오리지날팝콘,강냉이/팝콘,61.11,65,,,,
오리지널버터팝콘,강냉이/팝콘,57.5,65,,,,
오리지널팝콘,강냉이/팝콘,68,65,,,,
오프라이스어니언맛팝콘,강냉이/팝콘,59.17,65,,,,
오프라이스오리지널버터팝콘,강냉이/팝콘,58,65,,,,
오프라이스카라멜맛팝콘,강냉이/팝콘,75.5,65,,,,
오프라이스콘소메맛팝콘,강냉이/팝콘,65.83,65,,,,
온리프라이스버터갈릭&어니언팝콘,강냉이/팝콘,62,65,,,,
온리프라이스카라멜맛팝콘,강냉이/팝콘,70,65,,,,
우리왕찰옥콘스토리/추억의콘스토리/찰옥수수강냉이,강냉이/팝콘,87.51,69.9,,,,
이게진짜뻥이요,강냉이/팝콘,80,69.9,,,,
인디카라멜팝콘,강냉이/팝콘,78.89,65,,,,
인디팝콘밀크초코,강냉이/팝콘,76,65,,,,
인디팝콘패밀리팩,강냉이/팝콘,61,65,,,,
인절미맛팝콘,강냉이/팝콘,62.5,65,,,,
있는그대로찰강냉이,강냉이/팝콘,83.33,69.9,,,,
장성규의선넘은팝콘,강냉이/팝콘,58,65,,,,
조안나팝콘,강냉이/팝콘,78.46,65,,,,
진팝콘,강냉이/팝콘,68,65,,,,
찰강냉이,강냉이/팝콘,86.67,69.9,,,,
찰옥수수강냉이,강냉이/팝콘,85.83,69.9,,,,
천마표시멘트팝콘,강냉이/팝콘,65,65,,,,
체다치즈팝콘,강냉이/팝콘,64.29,65,,,,
추억의뻥이요,강냉이/팝콘,81.67,69.9,,,,
추억의허니뻥이요,강냉이/팝콘,73.33,69.9,,,,
충주사과팝콘,강냉이/팝콘,69.17,65,,,,
치즈카라멜팝콘,강냉이/팝콘,75,65,,,,
카라멜&딸기맛팝콘,강냉이/팝콘,78.57,65,,,,
카라멜&솔트팝콘,강냉이/팝콘,80,65,,,,
카라멜&치즈팝콘,강냉이/팝콘,72,65,,,,
카라멜글레이즈드팝콘,강냉이/팝콘,72.9,65,,,,
카라멜맛팝콘,강냉이/팝콘,75,65,,,,
카라멜치즈팝콘,강냉이/팝콘,64.29,65,,,,
카라멜케틀콘,강냉이/팝콘,62,65,,,,
카라멜팝콘,강냉이/팝콘,79,65,,,,
카라멜팝콘(227g)- 24 COUNT,강냉이/팝콘,80,65,,,,
캐러멜맛팝콘,강냉이/팝콘,77.74,65,,,,
코울슬로맛팝콘,강냉이/팝콘,60,65,,,,
코코넛&피넛팝콘,강냉이/팝콘,82.64,65,,,,
코코이찌방야카레맛팝콘,강냉이/팝콘,51.43,65,,,,
콘소메맛팝콘,강냉이/팝콘,65,65,,,,
콘소메맛팝콘(안데스소금),강냉이/팝콘,62.5,65,,,,
트리플치즈팝콘,강냉이/팝콘,57.5,65,,,,
트윅스 팝콘,강냉이/팝콘,63.09,65,,,,
트윅스팝콘,강냉이/팝콘,63.09,65,,,,
팝콘,강냉이/팝콘,61.18,65,,,,
팝콘버터솔트,강냉이/팝콘,56.67,65,,,,
팝콘오리지널,강냉이/팝콘,57.78,65,,,,
퍼시픽초이스딸기&바나나팝콘,강냉이/팝콘,68,65,,,,
퍼시픽초이스버터&갈릭팝콘,강냉이/팝콘,63.64,65,,,,
퍼시픽초이스카라멜&멀티그레인팝콘,강냉이/팝콘,73,65,,,,
퍼시픽초이스콘버터팝콘,강냉이/팝콘,57.71,65,,,,
포켓팝콘딸기맛,강냉이/팝콘,80,65,,,,
포켓팝콘크리미카라멜맛,강냉이/팝콘,76,65,,,,
포켓팝콘화이트블러썸,강냉이/팝콘,64,65,,,,
프레즐앤팝콘초콜릿&솔트,강냉이/팝콘,73.85,65,,,,
프레즐앤팝콘카라멜&체다치즈,강냉이/팝콘,73.85,65,,,,
프레첼&카라멜팝콘,강냉이/팝콘,76,65,,,,
허니버터강냉이,강냉이/팝콘,80,69.9,,,,
화이팅강냉이,강냉이/팝콘,88,69.9,,,,
흑당팝콘,강냉이/팝콘,74.67,65,,,,
허니뻥이요,강냉이/팝콘,73,69.9,,,,
HANARO뻥이요골드,강냉이/팝콘,81,69.9,,,,
HANARO뻥이요허니,강냉이/팝콘,73,69.9,,,,
simplus허니뻥이요,강냉이/팝콘,77,69.9,,,,
HomeplusSignature뻥이요,강냉이/팝콘,81,69.9,,,,
simplus뻥이요,강냉이/팝콘,83,69.9,,,,
골드뻥이요,강냉이/팝콘,81.67,69.9,,,,
뻥이요,강냉이/팝콘,83,69.9,,,,
뻥이요골드,강냉이/팝콘,81.67,69.9,,,,
뻥이요오리지널,강냉이/팝콘,83.57,69.9,,,,
뻥이요카라멜,강냉이/팝콘,76,69.9,,,,
Bebi 크리미 카라멜 팝콘,강냉이/팝콘,80.36,65,,,,
CGV 시그니처 스리라차 팝콘,강냉이/팝콘,57.62,65,,,,
CGV 춘식이 고구마 팝콘,강냉이/팝콘,68.06,65,,,,
darda 씨네마팝콘 카라멜맛,강냉이/팝콘,68.34,65,,,,
고소한 옛날 강냉이,강냉이/팝콘,65,69.9,,,,
국산 황옥수수,강냉이/팝콘,85,69.9,,,,
국산 황옥수수 강냉이,강냉이/팝콘,85,69.9,,,,
다르다 케이팝콘 치즈,강냉이/팝콘,54.76,69.9,,,,
다르다팝콘 케이팝콘 스위트칠리,강냉이/팝콘,48.27,65,,,,
다르다팝콘 케이팝콘 허니버터,강냉이/팝콘,58.85,65,,,,
단쌉스윗마더팝콘,강냉이/팝콘,77.59,65,,,,
단쌉인생팝콘,강냉이/팝콘,79.47,65,,,,
마라맛팝콘,강냉이/팝콘,49.99,65,,,,
메가치즈팝콘,강냉이/팝콘,52,65,,,,
베리베리 팝콘,강냉이/팝콘,74.38,65,,,,
브라운치즈 팝콘,강냉이/팝콘,55.32,65,,,,
블랙시크릿팝콘,강냉이/팝콘,48.42,65,,,,
상큼한 충주 딸기 팝콘,강냉이/팝콘,76.23,65,,,,
스위트 갈릭 팝콘,강냉이/팝콘,53.33,65,,,,
요거트 크림치즈 팝콘,강냉이/팝콘,56.15,65,,,,
카라멜 믹스 팝콘,강냉이/팝콘,60.71,65,,,,
케이 팝콘 곤약,강냉이/팝콘,90.63,65,,,,
허니버터 팝콘,강냉이/팝콘,70.93,65,,,,
혜성팝콘강냉이,강냉이/팝콘,86,69.9,,,,
Beidomi 크리미카라멜 팝콘,강냉이/팝콘,80.36,65,,,,
Beidomi 허니버터 팝콘,강냉이/팝콘,74.76,65,,,,
CGV 고구마 팝콘,강냉이/팝콘,68.06,65,,,,
CGV 양파사워크림팝콘,강냉이/팝콘,57.41,65,,,,
CGV 쿵야 양파사워크림팝콘,강냉이/팝콘,57.41,65,,,,
darda 시네마 팝콘 카라멜 & 버터 (유럽),강냉이/팝콘,65.97,65,,,,
darda 시네마 팝콘 카라멜 (유럽),강냉이/팝콘,68.34,65,,,,
darda 케이팝칩 그릴드케밥,강냉이/팝콘,69.51,65,,,,
darda 케이팝콘 그릴드케밥,강냉이/팝콘,69.51,65,,,,
darda 케이팝콘 핫칠리페퍼&라임,강냉이/팝콘,56.91,65,,,,
gram gram 믹스팝콘,강냉이/팝콘,73.2,65,,,,
wellbeing 양파뻥튀기,강냉이/팝콘,86.64,69.9,,,,
감성뻥튀기,강냉이/팝콘,79,69.9,,,,
국내산 강냉이,강냉이/팝콘,85.66,69.9,,,,
금빛여의주황치즈팝콘,강냉이/팝콘,73.04,65,,,,
까까 옥수수 롱뻥,강냉이/팝콘,83.33,69.9,,,,
누룽지뻥튀기 옛날과자,강냉이/팝콘,77,69.9,,,,
뉴욕치즈버거맛팝콘,강냉이/팝콘,59.89,65,,,,
두 번 튀겨 더 고소한 맛뻥 단호박맛,강냉이/팝콘,83.23,69.9,,,,
두 번 튀겨 더 고소한 맛뻥 자색고구마맛,강냉이/팝콘,83.23,69.9,,,,
레인보우팝뻥튀기,강냉이/팝콘,75.89,69.9,,,,
롯데시네마 제로팝콘,강냉이/팝콘,80.03,69.9,,,,
미니오색뻥,강냉이/팝콘,79.7,69.9,,,,
미친오트밀 오트뻥,강냉이/팝콘,86.88,69.9,,,,
바바 고구마 롱떡뻥,강냉이/팝콘,80.83,69.9,,,,
바바 단호박 떡뻥,강냉이/팝콘,84.28,69.9,,,,
바바 단호박 롱떡뻥,강냉이/팝콘,80.84,69.9,,,,
바바 당근 떡뻥,강냉이/팝콘,83.53,69.9,,,,
바바 당근 롱떡뻥,강냉이/팝콘,80.31,69.9,,,,
바바 백미 떡뻥,강냉이/팝콘,87.11,69.9,,,,
바바 브로콜리 롱떡뻥,강냉이/팝콘,80.38,69.9,,,,
바바 현미 롱떡뻥,강냉이/팝콘,79.35,69.9,,,,
백미뻥,강냉이/팝콘,89.09,69.9,,,,
베베모메 고구마 롱떡뻥,강냉이/팝콘,80.38,69.9,,,,
베베모메 단호박 떡뻥,강냉이/팝콘,84.28,69.9,,,,
베베모메 단호박 롱떡뻥,강냉이/팝콘,80.84,69.9,,,,
베베모메 당근 떡뻥,강냉이/팝콘,83.53,69.9,,,,
베베모메 당근 롱떡뻥,강냉이/팝콘,80.31,69.9,,,,
베베모메 백미 떡뻥,강냉이/팝콘,87.11,69.9,,,,
베베모메 브로콜리 롱떡뻥,강냉이/팝콘,80.38,69.9,,,,
베베모메 현미 롱떡뻥,강냉이/팝콘,79.35,69.9,,,,
베이비본죽 쑥쑥 백미 롱떡뻥,강냉이/팝콘,86.1,69.9,,,,
베이비본죽 튼튼 검정콩 롱떡뻥,강냉이/팝콘,84.53,69.9,,,,
베이비본죽 푸푸 사과 롱떡뻥,강냉이/팝콘,86.19,69.9,,,,
빠다 어니언 팝콘,강냉이/팝콘,50.87,69.9,,,,
뻥과자,강냉이/팝콘,19.83,69.9,,,,
뻥치면반하나,강냉이/팝콘,65.61,69.9,,,,
산골떡뻥 단호박,강냉이/팝콘,89.1,69.9,,,,
산골떡뻥 백미,강냉이/팝콘,89.5,69.9,,,,
산골떡뻥 사과,강냉이/팝콘,90,69.9,,,,
쌀집아줌마 곰돌이떡뻥,강냉이/팝콘,87.65,69.9,,,,
쌀집아줌마 꽃떡뻥,강냉이/팝콘,87.33,69.9,,,,
쌀집아줌마 토끼떡뻥,강냉이/팝콘,87.65,69.9,,,,
쌀집아줌마 하트떡뻥,강냉이/팝콘,87.65,69.9,,,,
아가애 라이스팝팝_감귤,강냉이/팝콘,88,69.9,,,,
아가애 라이스팝팝_오리지널,강냉이/팝콘,88,69.9,,,,
아이배냇 동그리뻥 백미,강냉이/팝콘,80,69.9,,,,
아이배냇 동그리뻥 블루베리,강냉이/팝콘,80,69.9,,,,
아이배냇 롱떡뻥 단호박,강냉이/팝콘,73.33,69.9,,,,
아이배냇 롱떡뻥 시금치,강냉이/팝콘,73.33,69.9,,,,
아이배냇 롱떡뻥 자색고구마,강냉이/팝콘,73.33,69.9,,,,
엄지유통 커리맛 롱뻥,강냉이/팝콘,53.12,69.9,,,,
옛정 어니언치즈맛 옥수수,강냉이/팝콘,81,69.9,,,,
옛정 허니버터 옥수수,강냉이/팝콘,84,69.9,,,,
오늘좋은 벚꽃팝콘,강냉이/팝콘,59.5,69.9,,,,
오늘좋은 포대팝콘,강냉이/팝콘,65,69.9,,,,
오래오랩 쌀뻥 (강황),강냉이/팝콘,84.8,69.9,,,,
오래오랩 쌀뻥 (여주),강냉이/팝콘,86.02,69.9,,,,
우리나라 강냉이,강냉이/팝콘,85,69.9,,,,
유기농 맘맘 쌀떡뻥 단호박,강냉이/팝콘,88,69.9,,,,
유기농 맘맘 쌀떡뻥 당근,강냉이/팝콘,88,69.9,,,,
유기농 맘맘 쌀떡뻥 백미,강냉이/팝콘,88,69.9,,,,
인절미맛 뻥,강냉이/팝콘,55,69.9,,,,
접시 뻥이요,강냉이/팝콘,83.22,69.9,,,,
치즈 뿌린 팝콘,강냉이/팝콘,69.58,69.9,,,,
카무트ⓡ브랜드 밀 뻥,강냉이/팝콘,82,69.9,,,,
코젤다크 시나몬 슈가 팝콘,강냉이/팝콘,62.14,69.9,,,,
코젤화이트 치즈 팝콘,강냉이/팝콘,54.76,69.9,,,,
콘크림 스프 팝콘,강냉이/팝콘,52.89,69.9,,,,
하트 뻥튀기,강냉이/팝콘,82.18,69.9,,,,
해오름 누룽지뻥과자,강냉이/팝콘,79.19,69.9,,,,
해오름단호박뻥과자,강냉이/팝콘,79.32,69.9,,,,
해오름뻥과자,강냉이/팝콘,85.22,69.9,,,,
해오름양파뻥과자,강냉이/팝콘,79.48,69.9,,,,
해오름자색고구마뻥과자,강냉이/팝콘,79.86,69.9,,,,
현미귀리뻥,강냉이/팝콘,85.4,69.9,,,,
현미누룽지팝,강냉이/팝콘,34,69.9,,,,
현미호라산밀뻥,강냉이/팝콘,84.68,69.9,,,,
히말라야 핑크솔트 솔솔 뿌린 달콤한 카라멜맛 팝콘은 역시 배민이지,강냉이/팝콘,63.94,65,,,,
36로맨틱마카롱,마카롱,52,32,,,,
36마카롱파티팩,마카롱,58,32,,,,
Oprice설빙뚱카롱세트,마카롱,52,32,,,,
가나슈마카롱,마카롱,50.72,32,,,,
고디바초콜릿마카롱,마카롱,56.84,32,,,,
그린티라떼마카롱,마카롱,60.5,32,,,,
꼬랑지마카롱,마카롱,40,32,,,,
꼬숩마카롱세트,마카롱,43.26,32,,,,
널담 마카롱 곡물초코,마카롱,40,32,,,,
널담 마카롱 녹차브라우니,마카롱,40,32,,,,
널담 마카롱 다크 초콜릿,마카롱,49.09,32,,,,
널담 마카롱 딸기 요거트,마카롱,45.45,32,,,,
널담 마카롱 리얼크림치즈,마카롱,49.09,32,,,,
널담 마카롱 바닐라 브라우니,마카롱,38.18,32,,,,
널담 마카롱 복숭아요거트,마카롱,43.64,32,,,,
널담 마카롱 블루베리크림치즈,마카롱,41.82,32,,,,
널담 마카롱 솔티드카라멜,마카롱,41.82,32,,,,
널담 마카롱 얼그레이밀크티,마카롱,36.36,32,,,,
널담 마카롱 오레오크림치즈,마카롱,47.27,32,,,,
널담 마카롱 죠리퐁라떼,마카롱,61.82,32,,,,
널담 마카롱 청포도요거트,마카롱,43.64,32,,,,
널담 마카롱 초코티라미수,마카롱,40,32,,,,
널담 마카롱 토피넛,마카롱,52.73,32,,,,
널담 마카롱 황치즈,마카롱,41.82,32,,,,
널담 비건마카롱 곡물초코,마카롱,47.5,32,,,,
널담 비건마카롱 녹차초코,마카롱,47.5,32,,,,
널담 비건마카롱 단호박,마카롱,47.5,32,,,,
널담 비건마카롱 딸기,마카롱,45,32,,,,
널담 비건마카롱 블루베리,마카롱,47.5,32,,,,
널담 비건마카롱 헤이즐넛초코,마카롱,27.5,32,,,,
녹차마카롱,마카롱,48.57,32,,,,
녹차치카롱,마카롱,50.29,32,,,,
다크초코가나슈마카롱,마카롱,43.33,32,,,,
다크초코마카롱,마카롱,56.67,32,,,,
다크초콜릿마카롱,마카롱,57.14,32,,,,
다크쵸코마카롱(냉동),마카롱,27,32,,,,
